month,plan_tier,active_customers,mrr,new_mrr,expansion_mrr,churn_mrr,arpu,cac,ltv
2024-01,Starter,312,15308.3,1213.3,515.06,287.37,49.07,160.94,781.41
2024-01,Professional,221,44126.48,5202.26,2204.62,1709.01,199.67,716.61,3083.61
2024-01,Enterprise,91,91150.19,10580.51,3136.07,2285.87,1001.65,2970.64,23458.6
2024-01,Starter,317,15540.56,956.27,626.74,444.05,49.02,170.38,876.5
2024-01,Professional,229,45703.45,2746.34,2154.2,1320.9,199.58,702.65,3748.95
2024-01,Enterprise,94,94560.52,10233.62,2628.77,2599.35,1005.96,2634.68,17010.09
2024-03,Starter,331,16228.25,1725.34,591.38,416.57,49.03,136.83,904.94
2024-03,Professional,246,48961.8,4079.48,1464.68,1880.16,199.03,567.43,4449.34
2024-03,Enterprise,96,96890.5,10137.19,3124.98,2007.74,1009.28,3965.47,20381.82
2024-03,Starter,347,17049.56,1182.78,783.59,550.87,49.13,190.62,812.24
2024-03,Professional,246,49134.0,5674.59,1491.11,959.73,199.73,644.61,3367.57
2024-03,Enterprise,102,102434.77,9211.36,2934.65,2338.64,1004.26,2997.41,16551.51
2024-04,Starter,353,17340.26,1049.44,819.3,261.8,49.12,157.67,1069.04
2024-04,Professional,253,50471.34,4476.41,2385.99,1468.3,199.49,547.75,3128.86
2024-04,Enterprise,102,102719.18,9783.99,3443.86,4048.44,1007.05,3136.49,15251.44
2024-05,Starter,363,17804.37,1860.36,525.45,318.19,49.05,163.58,929.58
2024-05,Professional,265,52779.71,6260.68,1422.7,1366.78,199.17,559.17,3778.45
2024-05,Enterprise,106,106805.09,8651.69,3579.25,2401.62,1007.6,3648.78,21307.9
2024-06,Starter,370,18161.72,1803.0,560.58,325.31,49.09,131.06,1015.46
2024-06,Professional,276,54995.09,6464.75,1535.37,1914.72,199.26,677.76,3688.85
2024-06,Enterprise,112,112061.62,8358.62,4138.95,2188.26,1000.55,3220.11,19307.86
2024-07,Starter,383,18810.04,1396.08,737.47,319.47,49.11,139.15,857.83
2024-07,Professional,283,56353.78,4629.54,2652.79,947.74,199.13,753.87,4099.61
2024-07,Enterprise,115,115259.97,12143.47,5184.19,3080.54,1002.26,3066.88,20379.6
2024-08,Starter,397,19501.93,2162.78,519.3,648.67,49.12,182.77,754.7
2024-08,Professional,295,58803.22,6767.59,1747.08,900.12,199.33,584.03,4316.48
2024-08,Enterprise,115,115766.01,9583.93,4227.3,2559.54,1006.66,3003.65,20239.38
2024-09,Starter,406,19939.49,1528.06,952.44,443.88,49.11,132.03,1027.35
2024-09,Professional,304,60623.27,4012.59,1457.5,1833.96,199.42,572.42,4576.71
